type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
p-cresol,Trametes pubescens,5% v/v,10 g/L,airlift loop reactor,optimised,7 days,optimised,Complete removal during batch,,No residuals observed,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
m-cresol,Trametes pubescens,5% v/v,10 g/L,airlift loop reactor,optimised,7 days,optimised,Complete removal,,Effective removal up to a 10% increase,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
o-cresol,Trametes pubescens,5% v/v,10 g/L,airlift loop reactor,optimised,7 days,optimised,Complete removal,,Removed efficiently,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
orange G,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30°C,9 days,,33.30%,,,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
congo red,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30°C,8 h,,97.10%,,,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
amido black 10B,Thelephora sp.,25 µM,10^5 spores/ml,shaking,30°C,24 h,,98.80%,,,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
orange G,Thelephora sp.,50 µM,,,,,,19%,,removed by laccase at 15 U/ml,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
orange G,Thelephora sp.,50 µM,,,,,4.5,13.50%,,removed by LiP and MnP at 15 U/ml each,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
congo red,Thelephora sp.,50 µM,,,,,4.5,12.00%,,removed by laccase at various concentrations,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
amido black 10B,Thelephora sp.,25 µM,,,,,4.5,15.00%,,removed by laccase at various concentrations,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
dye industry effluent,Thelephora sp.,,10^5 spores/ml,batch mode,39°C,3 days,4.5,61%,,,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
dye industry effluent,Thelephora sp.,,10^5 spores/ml,continuous mode,39°C,7 days,4.5,50%,,,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
dye industry effluent,Thelephora sp.,,,,,1 h,4.5,15%,,removed by laccase at 15 U/ml,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt
Malachite Green,Pleurotus ostreatus,20 mg L-1,2% v/v,stirring,25 °C,72 h,4.5,98.10%,viable biomass,Laccase activity was 54.8 ± 8.9 U L-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Malachite Green,Pleurotus ostreatus,20 mg L-1,2% v/v,stirring,30 °C,72 h,4.5,98.20%,viable biomass,Laccase activity was 54.8 ± 8.9 U L-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% v/v,stirring,30 °C,216 h,6,97.10%,viable biomass,Laccase activity was 30.6 ± 2.9 U L-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% v/v,stirring,25 °C,216 h,6,96.20%,viable biomass,Laccase activity was 30.6 ± 2.9 U L-1,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Malachite Green,Pleurotus ostreatus,20 mg L-1,2% v/v,stirring,25 °C,72 h,4.5,98.20%,non-viable biomass,,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% v/v,stirring,30 °C,216 h,6,45%,non-viable biomass,,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% v/v,stirring,30 °C,216 h,8,45%,non-viable biomass,,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Malachite Green,Pleurotus ostreatus,20 mg L-1,2% v/v,stirring,30 °C,72 h,4,98%,non-viable biomass,,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Crystal Violet,Pleurotus ostreatus,10 mg L-1,2% v/v,stirring,4,180 min,4,66.20%,non-viable biomass,,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt
Crystal violet,Trichoderma asperellum,50 ppm,Not specified,Static,Room temperature,60 min,4,Measured spectrophotometrically at 580 nm,,,Trichoderma+asperellum+laccase+mediated+crystal+violet+degradation-Optimization+of+experimental+conditions+and+characterization_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,3,39.84%,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,4,71.56%,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,5,86.34%,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,6,69.56%,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,7,51.42%,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,100 mg/l,not specified,shaking,30°C,7 days,5,85%,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,150 mg/l,not specified,shaking,30°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,200 mg/l,not specified,shaking,30°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,250 mg/l,not specified,shaking,30°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,24°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,26°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,28°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,32°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,34°C,7 days,5,not specified,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Real wastewater,Phanerochaete chrysosporium,not specified,not specified,shaking,28-30°C,from 3 to 5 days,5,79%,mycellium,,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,2.0 h,4,57.50%,,First replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,2.0 h,4,55.70%,,Second replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,4.0 h,4,66.70%,,First replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,4.0 h,4,68.50%,,Second replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,2.0 h,5.3,74.90%,,First replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,4.0 h,5.3,10.10%,,First replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,4.0 h,5.3,44.70%,,First replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,2.0 h,5.3,11.80%,,Second replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,4.0 h,5.3,0.00%,,First replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
Lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,Not specified,stirring,30 °C,4.0 h,5.3,0.00%,,Second replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,30 g/L,not specified,shaking,30°C,7 days,5,78%,whole fungi,,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,20 g/L,not specified,shaking,30°C,6 days,5,78%,whole fungi,,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,5 g/L,not specified,shaking,30°C,3 days,not specified,47%,whole fungi,,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,5 g/L,not specified,shaking,30°C,10 days,5,15% (control without cells),whole fungi,,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt
commercial lignin,Geotrichum candidum Dec 1,1 g/L,not specified,not specified,30°C,2 weeks,not specified,Yes (observed),whole fungi,,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt
kraft pulp bleaching effluent,Geotrichum candidum Dec 1,30 g/L,not specified,shaking,30°C,10 days,not specified,Progressive increase observed,whole fungi,,Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt
Poly R-478,Phanerochaete chrysosporium,not specified,10% (v/v) inoculum,orbital agitation,38°C,until supports were completely colonized,not specified,62%,mycelium,The immobilization was carried out on polyurethane foam and scouring web.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt
Poly S-119,Phanerochaete chrysosporium,not specified,10% (v/v) inoculum,orbital agitation,38°C,until supports were completely colonized,not specified,60%,mycelium,The immobilization was carried out on polyurethane foam and scouring web.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt
not specified,Phanerochaete chrysosporium,not specified,10% (v/v) inoculum,rotating biological contactor,38°C,36 days,not specified,55%,mycelium,Effluent fed into the reactor continuously with optimized decolorization medium.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt
not specified,Phanerochaete chrysosporium,not specified,10% (v/v) inoculum,not specified,38°C,24 days after initial 17 days,not specified,27%,mycelium,Progressive decrease in color removal observed after initial 17 days.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt
not specified,Phanerochaete chrysosporium,not specified,10% (v/v) inoculum,rotating biological contactor,38°C,additional 16 days after feed reversal,not specified,53%,mycelium,Feed was reversed after 17 days to increase active fungal lifetime.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt
"Acid Dyes (AY49, AR266, Abu62)",Bjerkandera adusta,100 ppm each,5 agar plugs (5 mm diameter),agitated conditions (130 rpm),28°C,7 days,5,88.0 ± 1.4%,fungal mass,DP measured after 7 days,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt
"Reactive Dyes (RY145, RR195, Rbu222, Rbk5)",Bjerkandera adusta,1250 ppm each (diluted 1/3 and 1/5),5 agar plugs (5 mm diameter),agitated conditions (130 rpm),28°C,7 days,10,29.2 ± 2.3% (1/3 dilution),fungal mass,Significant increase in DP upon dilution.,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt
"Direct Dyes (DrY106, DrR80, DrBu71)",Bjerkandera adusta,1000 ppm each,5 agar plugs (5 mm diameter),agitated conditions (130 rpm),28°C,7 days,9,50.2 ± 7.0%,fungal mass,DP measured after 1 day,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt
"Acid Dyes (ABk194, Abk210, AY194)",Bjerkandera adusta,100 ppm each,5 agar plugs (5 mm diameter),agitated conditions (130 rpm),28°C,7 days,5,82.7 ± 7.8%,fungal mass,DP measured after 1 day,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt
Real Wastewater (pre-ozonation),Bjerkandera adusta,Not specified,10 fungal plugs,agitated conditions,Not specified,7 days,8.5,40.8 ± 6.8% (after 24 hours),whole fungi,Comparison done with ozonation treatment.,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt
Coomassie Brilliant Blue G-250,Pseudomonas citronellolis,500-3000 mg/L,5% v/v,shaking,37 °C,48 hours,7.4,>90%,whole fungi,Decolorization was observed within the specified range of dye concentrations.,Effect+of+carbon+sources+on+dye+decolorization_.txt
Congo Red,Pseudomonas citronellolis,50-800 mg/L,5% v/v,shaking,37 °C,36 hours,7.4,>90%,whole fungi,Decolorization rates observed were the highest.,Effect+of+carbon+sources+on+dye+decolorization_.txt
Safranin,Pseudomonas citronellolis,50-800 mg/L,5% v/v,shaking,37 °C,48 hours,7.4,Not specified for concentration >150 mg/L,whole fungi,Complete decolorization at lower concentrations.,Effect+of+carbon+sources+on+dye+decolorization_.txt
Amaranth,Mutant enzyme lac2-9,100 mg/L,5% v/v,shaking,37 °C,24 hours,6,90.50%,whole fungi,Dye degradation improved with the presence of Ca2C and ABTS.,Effect+of+carbon+sources+on+dye+decolorization_.txt
Bromophenol Blue,Mutant enzyme lac2-9,100 mg/L,5% v/v,shaking,37 °C,24 hours,6,67.80%,whole fungi,Improved degradation rate compared to the rlac1338.,Effect+of+carbon+sources+on+dye+decolorization_.txt
Coomassie Brilliant Blue G-250,Mutant enzyme lac2-9,100 mg/L,5% v/v,shaking,37 °C,24 hours,6,85%,whole fungi,ABTS significantly enhanced degradation ability.,Effect+of+carbon+sources+on+dye+decolorization_.txt
Reactive Red 198,P. simplicissimum,Not specified,Not specified,Not specified,Not specified,1 day,Not specified,Not specified,,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt
Reactive Blue 21,P. simplicissimum,Not specified,Not specified,Not specified,Not specified,2 days,Not specified,Not specified,,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt
Reactive Blue 214,P. simplicissimum,Not specified,Not specified,Not specified,Not specified,5 days,Not specified,Not specified,,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt
Mixture of Reactive Dyes,P. simplicissimum,Not specified,Not specified,Not specified,Not specified,14 days,Not specified,Not specified,,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt
Phenolic compounds,Trametes vesicolor,0%,Not specified,Not specified,28°C,15 minutes,3,0.84,,Laccase activity measured,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Phenolic compounds,Trametes vesicolor,1%,Not specified,Not specified,28°C,15 minutes,3,0.72,,Laccase activity measured,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Phenolic compounds,Trametes vesicolor,2%,Not specified,Not specified,28°C,15 minutes,3,0.67,,Laccase activity measured,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Phenolic compounds,Trametes vesicolor,5%,Not specified,Not specified,28°C,15 minutes,3,0.65,,Laccase activity measured,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Phenolic compounds,Trametes vesicolor,5%,Not specified,Not specified,Not specified,Not specified,Not specified,22.85%,,Inhibition % at different concentrations measured,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Phenolic compounds,Trametes vesicolor,0%,Not specified,Not specified,40.5-41.5°C,15 minutes,3,76.12%,,Optimum conditions for decolorization,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt
Indigo carmine,Funalia trogii,50 mg/L,,static and shaking (150 rpm),30 °C,2 h,6,59%,whole fungi,Static and agitated conditions evaluated,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt
Indigo carmine,Funalia trogii,50 mg/L,,static and shaking (150 rpm),30 °C,4 h,6,87% - 92%,whole fungi,Static and agitated conditions evaluated,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt
Indigo carmine,Funalia trogii,50 mg/L,,static and shaking (150 rpm),40 °C,4 h,6,90% - 93%,whole fungi,Static and agitated conditions evaluated,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt
Indigo carmine,Pseudomonas aeruginosa,100 mg/L,,shaking (150 rpm),30 °C,4 h,6,91%,whole fungi,Comparison with control,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt
